event_id,user_id,event_timestamp,event_name,amount
1,1,2025-01-09 03:25:00,signup,
2,2,2025-03-11 17:52:00,signup,
3,2,2025-03-12 15:52:00,verification_completed,
4,2,2025-03-12 23:52:00,kyc_submitted,
5,2,2025-03-16 03:52:00,kyc_approved,
6,3,2025-02-28 10:10:00,signup,
7,3,2025-03-01 21:10:00,verification_completed,
8,4,2025-02-09 12:14:00,signup,
9,4,2025-02-10 02:14:00,verification_completed,
10,4,2025-02-12 01:14:00,kyc_submitted,
11,4,2025-02-13 02:14:00,kyc_approved,
12,4,2025-02-13 16:14:00,first_deposit,25.02
13,4,2025-02-15 13:14:00,first_transaction,20.36
16,4,2025-02-18 13:14:00,repeat_transaction,8.02
14,4,2025-02-25 13:14:00,repeat_transaction,36.58
15,4,2025-03-17 13:14:00,repeat_transaction,9.34
17,5,2025-02-08 17:51:00,signup,
18,5,2025-02-09 14:51:00,verification_completed,
19,5,2025-02-11 05:51:00,kyc_submitted,
20,6,2025-03-19 07:58:00,signup,
21,7,2025-01-08 05:00:00,signup,
22,7,2025-01-09 15:00:00,verification_completed,
23,7,2025-01-11 20:00:00,kyc_submitted,
24,7,2025-01-13 08:00:00,kyc_approved,
25,7,2025-01-14 04:00:00,first_deposit,40.53
26,7,2025-01-16 16:00:00,first_transaction,25.19
28,7,2025-02-01 16:00:00,repeat_transaction,14.57
27,7,2025-02-02 16:00:00,repeat_transaction,42.4
29,8,2025-03-04 10:10:00,signup,
30,8,2025-03-05 21:10:00,verification_completed,
31,8,2025-03-07 16:10:00,kyc_submitted,
32,8,2025-03-11 00:10:00,kyc_approved,
33,8,2025-03-14 07:10:00,first_deposit,28.36
34,8,2025-03-16 04:10:00,first_transaction,10.54
35,9,2025-01-19 09:39:00,signup,
36,9,2025-01-20 05:39:00,verification_completed,
37,10,2025-01-09 18:40:00,signup,
38,10,2025-01-10 03:40:00,verification_completed,
39,10,2025-01-12 09:40:00,kyc_submitted,
40,11,2025-02-17 11:16:00,signup,
41,11,2025-02-17 15:16:00,verification_completed,
42,11,2025-02-19 17:16:00,kyc_submitted,
43,11,2025-02-22 06:16:00,kyc_approved,
44,11,2025-02-24 15:16:00,first_deposit,26.44
45,11,2025-02-24 22:16:00,first_transaction,12.21
46,11,2025-03-09 22:16:00,repeat_transaction,14.87
47,11,2025-03-24 22:16:00,repeat_transaction,21.71
48,12,2025-03-29 12:58:00,signup,
49,12,2025-03-30 19:58:00,verification_completed,
50,13,2025-03-08 00:20:00,signup,
51,13,2025-03-08 20:20:00,verification_completed,
52,13,2025-03-09 11:20:00,kyc_submitted,
53,14,2025-03-10 06:30:00,signup,
54,14,2025-03-10 22:30:00,verification_completed,
55,14,2025-03-13 12:30:00,kyc_submitted,
56,14,2025-03-15 15:30:00,kyc_approved,
57,14,2025-03-16 05:30:00,first_deposit,65.81
58,14,2025-03-19 21:30:00,first_transaction,83.45
59,14,2025-03-30 21:30:00,repeat_transaction,21.56
60,14,2025-04-03 21:30:00,repeat_transaction,27.05
61,14,2025-04-16 21:30:00,repeat_transaction,5.1
62,15,2025-03-06 08:20:00,signup,
63,16,2025-03-12 18:41:00,signup,
64,16,2025-03-13 15:41:00,verification_completed,
65,17,2025-02-16 18:49:00,signup,
66,17,2025-02-17 00:49:00,verification_completed,
67,18,2025-01-12 03:35:00,signup,
68,18,2025-01-13 02:35:00,verification_completed,
69,18,2025-01-13 15:35:00,kyc_submitted,
70,18,2025-01-17 13:35:00,kyc_approved,
71,19,2025-03-17 23:39:00,signup,
72,19,2025-03-18 15:39:00,verification_completed,
73,19,2025-03-20 17:39:00,kyc_submitted,
74,19,2025-03-24 04:39:00,kyc_approved,
75,19,2025-03-28 14:39:00,first_deposit,20.36
76,19,2025-03-31 10:39:00,first_transaction,18.48
78,19,2025-04-16 10:39:00,repeat_transaction,9.36
77,19,2025-05-02 10:39:00,repeat_transaction,8.65
79,20,2025-02-10 23:14:00,signup,
80,20,2025-02-11 13:14:00,verification_completed,
81,20,2025-02-12 14:14:00,kyc_submitted,
82,20,2025-02-13 00:14:00,kyc_approved,
83,20,2025-02-14 02:14:00,first_deposit,31.62
84,20,2025-02-16 16:14:00,first_transaction,10.8
87,20,2025-03-02 16:14:00,repeat_transaction,14.22
85,20,2025-03-08 16:14:00,repeat_transaction,43.99
86,20,2025-03-21 16:14:00,repeat_transaction,22.78
88,21,2025-02-15 10:16:00,signup,
89,22,2025-02-03 18:49:00,signup,
90,23,2025-01-17 10:57:00,signup,
91,24,2025-03-25 04:50:00,signup,
92,25,2025-03-12 07:36:00,signup,
93,25,2025-03-13 15:36:00,verification_completed,
94,25,2025-03-16 03:36:00,kyc_submitted,
95,25,2025-03-17 09:36:00,kyc_approved,
96,26,2025-02-27 08:41:00,signup,
97,26,2025-02-28 12:41:00,verification_completed,
98,26,2025-03-03 17:41:00,first_deposit,10.15
99,26,2025-03-03 22:41:00,first_transaction,17.47
100,26,2025-03-29 22:41:00,repeat_transaction,25.93
101,27,2025-02-06 22:11:00,signup,
102,27,2025-02-07 05:11:00,verification_completed,
103,27,2025-02-09 14:11:00,kyc_submitted,
104,27,2025-02-12 18:11:00,kyc_approved,
105,27,2025-02-17 05:11:00,first_deposit,10.1
106,27,2025-02-20 08:11:00,first_transaction,19.8
107,27,2025-03-06 08:11:00,repeat_transaction,19.95
108,28,2025-03-16 09:07:00,signup,
109,28,2025-03-17 03:07:00,verification_completed,
110,28,2025-03-17 11:07:00,kyc_submitted,
111,28,2025-03-18 13:07:00,kyc_approved,
112,28,2025-03-18 18:07:00,first_deposit,12.09
113,29,2025-02-19 17:06:00,signup,
114,29,2025-02-20 13:06:00,verification_completed,
115,29,2025-02-21 00:06:00,kyc_submitted,
116,29,2025-02-21 19:06:00,kyc_approved,
117,30,2025-02-09 14:04:00,signup,
118,30,2025-02-10 10:04:00,verification_completed,
119,30,2025-02-13 05:04:00,kyc_submitted,
120,31,2025-02-10 05:56:00,signup,
121,31,2025-02-10 17:56:00,verification_completed,
122,32,2025-01-21 08:15:00,signup,
123,33,2025-01-09 22:50:00,signup,
124,33,2025-01-09 23:50:00,verification_completed,
125,33,2025-01-12 11:50:00,kyc_submitted,
126,33,2025-01-15 02:50:00,kyc_approved,
127,34,2025-02-19 09:40:00,signup,
128,34,2025-02-20 04:40:00,verification_completed,
129,34,2025-02-22 12:40:00,kyc_submitted,
130,35,2025-03-21 18:36:00,signup,
131,35,2025-03-21 19:36:00,verification_completed,
132,35,2025-03-24 15:36:00,kyc_submitted,
133,35,2025-03-27 13:36:00,kyc_approved,
134,35,2025-04-01 03:36:00,first_deposit,40.28
135,35,2025-04-01 07:36:00,first_transaction,23.12
136,35,2025-04-16 07:36:00,repeat_transaction,22.82
137,35,2025-05-01 07:36:00,repeat_transaction,10.36
138,36,2025-01-06 00:04:00,signup,
139,36,2025-01-07 05:04:00,verification_completed,
140,37,2025-03-19 06:37:00,signup,
141,37,2025-03-20 02:37:00,verification_completed,
142,37,2025-03-21 11:37:00,kyc_submitted,
143,37,2025-03-25 05:37:00,kyc_approved,
144,37,2025-03-29 15:37:00,first_deposit,40.66
145,37,2025-04-02 02:37:00,first_transaction,18.86
147,37,2025-04-13 02:37:00,repeat_transaction,23.18
146,37,2025-04-19 02:37:00,repeat_transaction,23.8
148,37,2025-05-03 02:37:00,repeat_transaction,28.62
149,38,2025-03-16 17:59:00,signup,
150,38,2025-03-16 19:59:00,verification_completed,
151,38,2025-03-19 02:59:00,kyc_submitted,
152,38,2025-03-19 09:59:00,kyc_approved,
153,38,2025-03-21 20:59:00,first_deposit,38.74
154,38,2025-03-22 10:59:00,first_transaction,17.49
155,38,2025-03-26 10:59:00,repeat_transaction,54.72
156,38,2025-04-13 10:59:00,repeat_transaction,6.37
157,39,2025-01-25 03:34:00,signup,
158,39,2025-01-26 14:34:00,verification_completed,
159,39,2025-01-27 11:34:00,kyc_submitted,
160,39,2025-01-30 09:34:00,kyc_approved,
161,39,2025-02-03 00:34:00,first_deposit,11.65
162,39,2025-02-03 02:34:00,first_transaction,18.36
163,39,2025-02-09 02:34:00,repeat_transaction,14.81
166,39,2025-02-16 02:34:00,repeat_transaction,2.86
165,39,2025-02-18 02:34:00,repeat_transaction,16.31
164,39,2025-03-05 02:34:00,repeat_transaction,46.86
167,39,2025-03-07 02:34:00,repeat_transaction,11.96
168,40,2025-02-26 08:47:00,signup,
169,40,2025-02-26 19:47:00,verification_completed,
170,40,2025-02-28 02:47:00,kyc_submitted,
171,40,2025-03-01 01:47:00,kyc_approved,
172,41,2025-01-15 19:30:00,signup,
173,41,2025-01-16 11:30:00,verification_completed,
174,41,2025-01-16 21:30:00,kyc_submitted,
175,41,2025-01-18 08:30:00,kyc_approved,
176,42,2025-03-10 09:55:00,signup,
177,42,2025-03-11 15:55:00,verification_completed,
178,43,2025-03-05 15:43:00,signup,
179,44,2025-02-01 06:42:00,signup,
180,44,2025-02-01 17:42:00,verification_completed,
181,44,2025-02-02 05:42:00,kyc_submitted,
182,45,2025-01-07 21:26:00,signup,
183,45,2025-01-09 08:26:00,verification_completed,
184,45,2025-01-09 23:26:00,kyc_submitted,
185,45,2025-01-12 17:26:00,kyc_approved,
186,46,2025-03-29 11:17:00,signup,
187,46,2025-03-29 19:17:00,verification_completed,
188,46,2025-03-30 09:17:00,kyc_submitted,
189,46,2025-03-30 23:17:00,kyc_approved,
190,46,2025-04-02 21:17:00,first_deposit,26.56
191,46,2025-04-04 08:17:00,first_transaction,11.78
192,46,2025-04-24 08:17:00,repeat_transaction,9.52
193,46,2025-04-27 08:17:00,repeat_transaction,24.37
194,47,2025-02-10 08:30:00,signup,
195,48,2025-03-22 13:29:00,signup,
196,48,2025-03-23 15:29:00,verification_completed,
197,48,2025-03-26 13:29:00,kyc_submitted,
198,48,2025-03-27 09:29:00,kyc_approved,
199,49,2025-03-03 23:32:00,signup,
200,50,2025-03-12 00:31:00,signup,
201,50,2025-03-12 06:31:00,verification_completed,
202,50,2025-03-12 15:31:00,kyc_submitted,
203,50,2025-03-14 06:31:00,kyc_approved,
204,51,2025-03-10 03:06:00,signup,
205,51,2025-03-10 10:06:00,verification_completed,
206,51,2025-03-12 18:06:00,kyc_submitted,
207,51,2025-03-16 04:06:00,kyc_approved,
208,51,2025-03-20 00:06:00,first_deposit,51.43
209,51,2025-03-20 19:06:00,first_transaction,17.51
212,51,2025-04-01 19:06:00,repeat_transaction,14.96
213,51,2025-04-08 19:06:00,repeat_transaction,22.27
211,51,2025-04-14 19:06:00,repeat_transaction,22.46
210,51,2025-04-20 19:06:00,repeat_transaction,6.7
214,52,2025-01-18 16:14:00,signup,
215,52,2025-01-19 09:14:00,verification_completed,
216,52,2025-01-21 06:14:00,kyc_submitted,
217,53,2025-02-02 12:17:00,signup,
218,54,2025-02-12 18:25:00,signup,
219,54,2025-02-13 10:25:00,verification_completed,
220,54,2025-02-15 11:25:00,kyc_submitted,
221,54,2025-02-19 08:25:00,kyc_approved,
222,55,2025-02-14 05:33:00,signup,
223,55,2025-02-15 13:33:00,verification_completed,
224,55,2025-02-16 11:33:00,kyc_submitted,
225,55,2025-02-17 17:33:00,kyc_approved,
226,55,2025-02-22 13:33:00,first_deposit,31.81
227,55,2025-02-25 02:33:00,first_transaction,19.85
228,56,2025-01-04 20:37:00,signup,
229,56,2025-01-05 16:37:00,verification_completed,
230,56,2025-01-06 03:37:00,kyc_submitted,
231,56,2025-01-07 15:37:00,kyc_approved,
232,56,2025-01-10 23:37:00,first_deposit,39.81
233,56,2025-01-13 15:37:00,first_transaction,13.86
238,56,2025-01-19 15:37:00,repeat_transaction,34.19
235,56,2025-01-23 15:37:00,repeat_transaction,22.54
236,56,2025-01-28 15:37:00,repeat_transaction,13.29
237,56,2025-01-31 15:37:00,repeat_transaction,46.17
234,56,2025-02-03 15:37:00,repeat_transaction,26.53
239,57,2025-02-19 14:58:00,signup,
240,57,2025-02-20 00:58:00,verification_completed,
241,58,2025-01-14 05:30:00,signup,
242,58,2025-01-15 16:30:00,verification_completed,
243,59,2025-03-08 18:44:00,signup,
244,59,2025-03-09 19:44:00,verification_completed,
245,60,2025-03-03 00:52:00,signup,
246,60,2025-03-04 10:52:00,verification_completed,
247,61,2025-03-25 11:12:00,signup,
248,61,2025-03-26 07:12:00,verification_completed,
249,61,2025-03-27 23:12:00,kyc_submitted,
250,61,2025-03-28 19:12:00,kyc_approved,
251,61,2025-03-29 16:12:00,first_deposit,20.36
252,61,2025-03-31 07:12:00,first_transaction,64.02
256,61,2025-04-01 07:12:00,repeat_transaction,37.65
253,61,2025-04-17 07:12:00,repeat_transaction,10.96
254,61,2025-04-18 07:12:00,repeat_transaction,11.37
255,61,2025-04-27 07:12:00,repeat_transaction,12.2
257,62,2025-03-09 17:28:00,signup,
258,62,2025-03-10 04:28:00,verification_completed,
259,62,2025-03-12 20:28:00,kyc_submitted,
260,62,2025-03-14 04:28:00,kyc_approved,
261,62,2025-03-18 19:28:00,first_deposit,9.7
262,62,2025-03-19 04:28:00,first_transaction,93.36
266,62,2025-03-21 04:28:00,repeat_transaction,9.84
265,62,2025-04-07 04:28:00,repeat_transaction,9.56
264,62,2025-04-08 04:28:00,repeat_transaction,14.77
263,62,2025-04-13 04:28:00,repeat_transaction,14.8
267,63,2025-02-02 09:50:00,signup,
268,63,2025-02-03 12:50:00,verification_completed,
269,63,2025-02-04 07:50:00,kyc_submitted,
270,63,2025-02-04 15:50:00,kyc_approved,
271,64,2025-03-29 06:21:00,signup,
272,64,2025-03-30 10:21:00,verification_completed,
273,64,2025-04-04 08:21:00,first_deposit,19.48
274,65,2025-02-06 12:58:00,signup,
275,65,2025-02-07 07:58:00,verification_completed,
276,66,2025-01-30 19:24:00,signup,
277,66,2025-01-31 11:24:00,verification_completed,
278,66,2025-01-31 21:24:00,kyc_submitted,
279,66,2025-02-01 14:24:00,kyc_approved,
280,66,2025-02-05 23:24:00,first_deposit,34.06
281,67,2025-03-23 01:24:00,signup,
282,67,2025-03-24 12:24:00,verification_completed,
283,67,2025-03-26 17:24:00,kyc_submitted,
284,67,2025-03-27 17:24:00,kyc_approved,
285,68,2025-02-03 00:12:00,signup,
286,68,2025-02-04 11:12:00,verification_completed,
287,68,2025-02-05 00:12:00,kyc_submitted,
288,68,2025-02-05 20:12:00,kyc_approved,
289,68,2025-02-07 04:12:00,first_deposit,15.35
290,68,2025-02-07 17:12:00,first_transaction,24.48
291,68,2025-02-21 17:12:00,repeat_transaction,11.15
292,69,2025-01-07 16:34:00,signup,
293,69,2025-01-08 12:34:00,verification_completed,
294,70,2025-02-12 19:17:00,signup,
295,70,2025-02-13 04:17:00,verification_completed,
296,71,2025-03-13 20:50:00,signup,
297,72,2025-01-18 17:47:00,signup,
298,73,2025-02-11 21:09:00,signup,
299,73,2025-02-12 13:09:00,verification_completed,
300,74,2025-01-12 03:08:00,signup,
301,74,2025-01-13 13:08:00,verification_completed,
302,74,2025-01-15 15:08:00,kyc_submitted,
303,74,2025-01-18 13:08:00,kyc_approved,
304,74,2025-01-19 07:08:00,first_deposit,12.75
305,74,2025-01-20 12:08:00,first_transaction,16.6
306,75,2025-03-03 06:02:00,signup,
307,75,2025-03-04 01:02:00,verification_completed,
308,75,2025-03-05 23:02:00,kyc_submitted,
309,75,2025-03-09 21:02:00,kyc_approved,
310,75,2025-03-13 15:02:00,first_deposit,52.39
311,75,2025-03-16 15:02:00,first_transaction,9.07
312,75,2025-04-18 15:02:00,repeat_transaction,25.83
313,76,2025-02-12 13:12:00,signup,
314,76,2025-02-13 01:12:00,verification_completed,
315,76,2025-02-13 13:12:00,kyc_submitted,
316,76,2025-02-17 10:12:00,kyc_approved,
317,76,2025-02-20 10:12:00,first_deposit,14.09
318,76,2025-02-23 14:12:00,first_transaction,26.48
319,76,2025-03-19 14:12:00,repeat_transaction,32.94
320,77,2025-01-30 19:19:00,signup,
321,77,2025-01-31 08:19:00,verification_completed,
322,78,2025-01-21 11:02:00,signup,
323,78,2025-01-22 16:02:00,verification_completed,
324,78,2025-01-24 04:02:00,kyc_submitted,
325,78,2025-01-27 06:02:00,kyc_approved,
326,79,2025-02-20 00:45:00,signup,
327,79,2025-02-21 03:45:00,verification_completed,
328,79,2025-02-22 15:45:00,kyc_submitted,
